id,average score buffer_None,economy activity_None,PM2.5_None,NOX_None,crime rate buffer_None,restaurant buffer_None,Supermarkets_Supermarkets,NightEconomy, HousingDensity ,BuilingHeights , GreenSpace , Noise,SpaceSyntax_R3000_SpaceSyntax_Choice_R3000_None,SpaceSyntax_R3000_SpaceSyntax_Intergration_R3000_None,culture final-sum_culture sum
19664,7,164.45817,0.25166,2.21365,109,,1,605,0.807,15.26,,65,671104,1025.7104,0
19667,14,122.34972,0.44992,3.93444,212,,,480,0.807,4.97,,,18029,774.96143,0
19666,7,121.69114,0.43419,3.84269,109,,,585,0.807,6.91,,,157729,941.43817,0
19693,,51.90711,0.72489,7.64058,,,,26,,11.80399895,,65,9494,708.34326,0
19692,,52.36088,0.72889,7.68352,,,,26,,39.72842969,,65,444439,1068.4188,1
19695,,24.00156,0.46736,4.88398,,,,26,,35.42699814,,,137866,1068.2079,0
19694,,37.25871,0.54503,5.73696,,,,26,,35.42699814,,,11508,810.21088,0
19689,7,51.93572,0.71166,7.49064,36,,,3,,125.9259531,,,132677,968.18005,1
19688,7,51.79228,0.62278,6.4603,36,1,,3,,3.45,,,39331,924.67645,0
19691,,23.82432,0.33165,3.49602,,1,,26,,39.72842969,,,12173,825.7821,0
19690,,35.7006,0.49697,5.23877,,,,26,,16.89987109,,,11044,791.85199,0
19685,7,112.75776,0.31299,4.12467,36,1,,3,1.089,14.26,,65,32402,1002.9594,2
19684,7,125.44905,0.4529,5.9504,36,1,,3,1.089,11.28,,75,931203,1241.837,0
19687,7,57.26256,0.57604,6.0403,36,4,1,3,1.089,21.4897793,31,,39331,949.14398,0
19686,7,76.83432,0.47997,5.33355,36,,,3,1.089,17.88,,,28020,929.5307,1
19681,14,143.7771,0.76589,10.49556,131,1,,3,0.839,23.8155,,75,1025836,1199.5033,0
19680,14,135.76002,0.34843,4.40784,131,,,3,0.839,15.96815039,,75,1025836,1199.5033,0
19683,7,139.36449,0.60302,7.91097,36,,,3,1.089,6.73,180,55,2865,782.19366,0
19682,7,140.64845,0.6839,8.96448,36,,,3,1.089,5.54,238,,19608,923.98938,0
19709,6,30.67407,0.21373,3.20663,38,2,,2,1.763,24.43500137,90,65,874585,1070.9727,0
19708,6,63.72072,0.44398,6.66129,38,,,2,1.763,22.95499992,,55,133313,966.09515,0
19711,13,94.91247,0.50815,7.16944,121,,,2,0.823,27.07500076,,75,991635,1058.3636,0
19710,13,62.16599,0.39895,5.88425,121,1,,2,0.823,24.43500137,853,75,875384,1070.9727,0
19705,6,58.97014,0.69461,11.32645,38,1,,2,1.763,10.26000023,381,,106860,758.18988,0
19704,6,50.4884,0.36656,5.54673,38,2,,2,1.763,35.96099854,,,59070,676.66675,0
19707,6,62.72999,0.48969,7.51483,38,1,,2,1.763,23.90600014,,75,602722,1092.7483,0
19706,6,54.75171,0.57664,9.27408,38,1,,2,1.763,23.90600014,,65,134227,933.71722,1
19701,,3.29169,0.20266,2.08616,,,,26,,27.93000031,,75,139312,873.01495,0
19700,,5.23369,0.32222,3.31693,,,,26,,24.83199883,453,75,250825,1065.6416,0
19703,6,1.97715,0.01378,0.20669,38,,,,1.763,,,60,,,0
19702,6,3.23387,0.09835,1.07291,38,,,,,,,65,,,0
19697,,5.05891,0.31146,3.20616,,2,,26,,36.10200119,,,142444,1126.4138,0
19696,,5.6755,0.32606,3.35812,,2,,26,,26.92699814,,,156031,1111.9913,0
19699,,5.23369,0.32222,3.31693,,6,,26,,38.36100006,,60,648326,1278.9916,0
19698,,5.23369,0.32222,3.31693,,11,,26,,36.19599915,,,648326,1288.2163,0
19725,12,160.7411,0.52481,6.83337,262,1,,325,1.144,12.29699993,289,,128875,835.0589,0
19724,6,172.07128,0.44478,5.80429,175,,,325,1.144,18.18499947,114,,36847,697.75873,0
19727,13,81.95885,0.38422,5.13401,194,,,325,0.877,2.45299983,265,75,584715,945.21344,0
