code,name,half_densi,air pollution_CO2_all_2019_s,air pollution_NOX_all_2019_s,air pollution_PM25_all_2019_s,BuildingHeights_LSOA_MEAN_mean_mean,GreenSpace_LSOA_Area,flow LSOA_None,HousingDensity_LSOA_Density,population density LSOA_density,restaurants_restaurants,supermarkets_supermarkets,culture LSOA sum_sum,noise LSOA_None
E01000037,Barking and Dagenham 003B,879,29189.48586,44.659262,5.393634,5.195145,1310708.44,10677,0.002932734,72.3,,,0,72.5
E01033729,Greenwich 030E,1405,43757.47906,55.95755,7.451447,6.237027,40355.58,13159.23529,0.002293143,43,4,1,0,67.5
E01000038,Barking and Dagenham 003C,753,29956.52598,46.859682,5.476513,5.193183,492110.45,10677,0.003043414,67.6,2,1,0,57
E01033730,Greenwich 035D,837,40306.39041,57.602092,8.735474,8.632334,1038.72,11931.78261,0.014800219,71.8,4,0,2,72.5
E01000039,Barking and Dagenham 003D,812,21961.6329,37.14519,8.955854,5.626285,45721.3,10677,0.002967066,10.5,0,0,0,57
E01033731,Greenwich 004E,1063,50874.71069,83.961052,7.017961,7.481809,144.94,13516.64286,0.007382341,49.7,8,3,0,80
E01000040,Barking and Dagenham 019A,803,35007.14716,51.604631,5.2405,5.632228,,11935.54545,0.004396367,91.9,5,0,0,72.5
E01033732,Greenwich 036D,561,69977.68212,138.323249,23.367493,9.654158,,11344,0.003207553,99.7,0,0,0,67.5
E01000041,Barking and Dagenham 017A,862,19849.07126,23.434067,4.087735,6.239626,,7075.090909,0.004255093,110.2,0,0,0,72.5
E01033733,Greenwich 036E,621,75543.50889,187.821486,27.417986,7.860207,317.13,11344,0.00215597,27.1,0,2,0,67.5
E01000042,Barking and Dagenham 017B,971,60993.31518,95.643487,9.968887,6.330354,220.51,8506.1,0.004427573,77.3,0,0,0,72.5
E01033734,Greenwich 004F,764,16452.75111,32.1468,2.233264,9.075258,7934.19,,0.007824018,135,0,0,0,57
E01000043,Barking and Dagenham 019B,715,47858.53533,82.413618,8.195149,5.891868,1421.75,19927.5,0.003289646,51,0,0,0,80
E01033735,Greenwich 004G,564,25179.85606,48.752949,3.845028,10.139995,,8638,0.003566154,103.1,8,2,2,72.5
E01000044,Barking and Dagenham 016D,964,67973.57887,103.657645,11.613792,5.162532,692.53,15277,0.005714854,105.4,0,0,0,72.5
E01033736,Greenwich 004H,663,18035.22004,45.519266,2.68409,10.354503,5672.97,24463,0.007404364,87.6,0,0,4,80
E01000045,Barking and Dagenham 017C,827,25986.16802,44.038856,4.728388,5.843035,126480.82,29965.0625,0.004164806,55.3,6,1,0,80
E01033737,Greenwich 004I,733,38603.22068,65.662868,5.213891,7.907153,13807.1,23127.66667,0.005345417,63.3,14,1,1,80
E01000123,Barnet 010D,876,39744.61638,52.737642,6.195342,5.75598,4226.48,8446.3,0.001969843,,0,0,1,72.5
E01033738,Greenwich 037D,637,55220.52888,106.140392,18.550504,5.948624,226.3,23475.83051,0.001928541,42,1,1,0,80
E01033739,Greenwich 002E,879,17883.83912,55.437073,2.962374,11.329825,55044.22,,0.006152655,122.8,0,0,0,
E01000001,City of London 001A,757,115506.4236,205.381064,21.975405,23.786935,706.39,9838.309524,0.016120669,112.9,12,2,0,80
E01033740,Greenwich 002F,892,29969.38442,67.761517,4.924402,6.248681,1206.89,,0.006026886,95.3,0,0,0,57
E01000002,City of London 001B,761,105366.8709,175.503078,16.648969,21.279333,348.71,3885.64,0.005739629,62.9,16,0,13,72.5
E01033741,Greenwich 002G,1560,24880.06595,45.461851,3.164112,6.180379,,23952,0.000845072,43.1,3,1,0,67.5
E01000003,City of London 001C,686,100891.9976,167.62409,16.123381,20.077578,5277.68,2926,0.014057599,227.7,1,0,2,67.5
E01033742,Greenwich 007F,798,14456.08966,36.883079,2.747828,6.704942,,,0.005053083,107.6,0,0,0,
E01000005,City of London 001E,678,78642.24673,167.103372,21.752454,20.099653,80.74,9882.745098,0.011018151,52,44,3,4,80
E01000006,Barking and Dagenham 016A,925,28675.55324,37.210381,5.418632,6.237818,,449,0.004164644,116.2,0,0,0,
E01033743,Greenwich 002H,1066,30708.35627,72.669713,7.189968,6.05642,7399.1,8593,0.003572067,20.4,1,1,1,72.5
E01000007,Barking and Dagenham 015A,794,22602.21424,35.531548,4.341229,7.341992,226.33,9140.633333,0.006307642,69.5,5,0,0,72.5
E01033744,Greenwich 007G,952,9206.130748,12.696683,0.91955,6.312147,,15224,0.002107874,125.8,0,0,0,62.5
E01000008,Barking and Dagenham 015B,809,37598.47776,65.062345,5.622754,8.34005,505.92,27216.25714,0.005347481,79.1,0,0,0,80
E01033745,Greenwich 002I,1001,36754.58167,66.038993,4.935328,5.925186,,11227.94118,0.003007608,32.3,0,0,1,72.5
E01000009,Barking and Dagenham 016B,898,15540.7734,23.980512,3.644893,5.512367,275540.86,9295.64,0.005694961,138.6,18,1,0,67.5
E01033746,Greenwich 038E,689,39743.94978,59.043468,8.358724,7.520282,212.18,5892.08,0.004841546,115.3,6,0,0,72.5
E01000010,Barking and Dagenham 015C,1655,42269.48247,68.584324,7.383909,8.222721,19555.18,9490.016949,0.005714854,80.7,18,4,5,72.5
E01000011,Barking and Dagenham 016C,822,16315.37928,24.877097,3.750185,5.965604,275540.86,9373,0.006647845,178.2,3,0,0,67.5
E01000012,Barking and Dagenham 015D,978,24431.56298,37.170067,4.583327,6.178306,,11174.5,0.006246902,136.8,2,0,0,67.5
E01000013,Barking and Dagenham 013A,898,43047.6039,50.710129,9.106742,6.028298,1946.22,14689.14286,0.004196385,79.9,8,2,0,67.5
E01000014,Barking and Dagenham 013B,852,53400.00953,61.649662,11.435199,6.048951,2477.5,13350.5,0.003871353,48.5,0,0,0,67.5
E01000015,Barking and Dagenham 009A,1206,22579.66744,28.238064,5.016461,6.187224,726.19,7726,0.002396685,79.9,0,0,0,
E01000016,Barking and Dagenham 009B,864,21923.75163,25.686251,4.620971,6.06926,,11851,0.002994438,82.3,4,0,0,67.5
E01000017,Barking and Dagenham 009C,840,21923.75163,25.686251,4.620971,6.155817,1212.83,11851,0.003796638,100.6,0,0,0,67.5
E01000018,Barking and Dagenham 009D,893,22579.66744,28.238064,5.016461,6.143961,,11851,0.0036852,91.9,0,0,0,67.5
