id,name,X,Y
2038,Thunderbird,"537685","180437"
2041,Veggie Pret,"537659","180287"
2064,So Fresh Kitchen,"513801","175622"
2068,itsu,"528922","178975"
2090,Tapori,"513801","175622"
2092,Natural Fitness Food,"537662","180284"
2096,Raastawala,"537678","180437"
2103,Morinoya,"529150","178868"
2118,Bun House,"519299","186027"
2149,Crepeaffaire,"523455","180241"
2169,The Italian Bakery,"536435","188695"
2189,Grill Rock,"529796","185022"
2195,Three Uncles,"533307","181520"
2206,Love Churros,"525415","177229"
2219,Sub Cult,"532274","181122"
2224,The Pasty Shop,"527164","175479"
2226,Tortilla,"523469","180209"
2239,McDonald's Restaurant,"533002","180219"
2253,Club Mexicana,"533378","182222"
2260,Alan's Fish Bar,"550832","191088"
2270,Yum Bun,"533376","182216"
2294,The Noodle Bar,"532755","165729"
2295,The Argentinian Grill,"532777","165706"
2296,Caffe Cinnamon,"533284","182394"
2297,Chin Chin Labs,"533378","182224"
2304,Wheelcake Island,"523435","180217"
2313,The Orange Buffalo,"533846","182078"
2318,Caboose,"533829","182054"
2331,Naan Wrap,"533637","181845"
2337,Falafel Lover Shawarma Kisser,"531811","179088"
2338,Butchies,"525415","177229"
2344,White Pine,"529559","181480"
2351,Jamaican Jerk Chicken,"533466","185067"
2357,Asorock,"533471","185067"
2365,Panda,"531178","176304"
2374,E12 Chicken & Pizza,"542397","185739"
2375,Subway,"509568","175243"
2386,Fanny's Kebabs,"525415","177229"
2388,Chucks-R-Us,"531057","185567"
2409,Bagel Factory,"537678","180139"
2443,Magic Corn,"532343","165776"
2450,Tsujiri,"529924","180888"
2461,Bfi Bar & Kitchen,"530851","180351"
2504,Pleasant Lady Jian Bing Trading Stall,"529819","181082"
2516,Peri Peri Original,"505226","190531"
2560,Tortilla,"524052","175304"
2571,Ben & Jerry's,"551168","188478"
2578,Brownie Box,"523953","175389"
2583,The Flavours Cabin,"529011","173518"
2584,Coffee Run,"533462","188768"
2596,The Broad Walk Cafe,"528394","182967"
2609,Little Grubb,"533930","190717"
2621,Subway,"510729","178846"
2628,Afishionados,"551639","176500"
2649,Sesame,"523476","180298"
2652,Radhika,"515634","188902"
2667,Which Wich,"530004","181350"
