id,NightEconomy_10m_None,HousingDensity_10m_None,GreenSpace_10m_None,BuildingHeights_10m_None,SpaceSyntax_10m_choice_ASA216_T10,Supermarkets_10m (1)_id_count,noise sum_10m_NoiseClass10m,Test_intergration_None,BuilingArea_10m_None
1,"265",1.142,,9.91836055474,,,57.5,,"72.0"
2,"265",1.142,,9.91836055474,,,57.5,,"39.0"
3,"265",1.142,,9.91836055474,,,57.5,,"87.0"
4,"265",1.142,,9.91836055474,"5946",,57.5,539.80151,"26.0"
5,"265",1.142,,0.96816519862,"5946",,,539.80151,"1.0"
6,"265",1.142,,0.96816519862,,,,,"73.0"
7,"265",1.142,,0.96816519862,,,67.5,,"20.0"
8,"265",1.142,,,,,67.5,,
9,"265",1.142,,,"3582",,67.5,726.60345,
10,"265",1.142,,,"3582",,67.5,726.60345,
11,"455",1.142,,,"3582",,67.5,726.60345,
12,"455",1.142,,,"3582",,67.5,726.60345,
13,"455",1.142,,,"703994",,,909.11084,
14,"265",1.142,,,,,67.5,,
15,"265",1.142,,10.3025125666,,,67.5,,"76.0"
16,"265",1.142,,10.3025125666,,,62.5,,"86.0"
17,"265",1.142,,15.9389804268,,,57.5,,"9.0"
18,"265",1.142,,15.9389804268,,,62.5,,"37.0"
19,"265",1.142,,15.9389804268,,,62.5,,"60.0"
20,"265",1.142,,15.9389804268,,,62.5,,"70.0"
21,"265",1.142,,15.9389804268,,,75,,"2.0"
22,"265",1.142,,,"694577",,75,862.95953,
23,"265",1.142,,,"694577",,75,862.95953,
24,"455",1.142,,,"20722",,75,709.32532,
25,"455",1.142,,11.7069497656,"20722",,67.5,709.32532,"8.0"
26,"455",1.142,,11.7069497656,"20722",,67.5,709.32532,"66.0"
27,"455",1.142,,11.7069497656,"40860",,67.5,709.32532,"34.0"
28,"455",1.142,,,,,67.5,,
29,"455",1.142,,9.86987047952,,,67.5,,"93.0"
30,"455",1.142,,9.86987047952,,,62.5,,"31.0"
31,"455",1.142,,9.86987047952,,,,,"1.0"
32,"455",1.142,,9.86987047952,,,,,"1.0"
33,"455",1.142,,9.86987047952,,,,,"6.0"
34,"455",1.142,,6.57123478169,,,,,"20.0"
35,"455",1.142,,6.57123478169,,,57.5,,"89.0"
36,"455",1.142,,8.88361243875,,,57.5,,"46.0"
37,"455",1.142,,8.88361243875,"6239",,57.5,569.37982,"39.0"
38,"455",1.142,,,"6239",,57.5,569.37982,
39,"455",1.142,,,"108792",,57.5,615.4859,
40,"455",1.142,,,"108792",,57.5,615.4859,
41,"455",1.142,,15.5817539877,,,,,"32.0"
42,"455",1.142,,15.5817539877,,,,,"77.0"
43,"455",1.142,,15.5817539877,,,,,"2.0"
44,"455",1.142,,15.5817539877,,,57.5,,"72.0"
45,"455",1.142,,15.5817539877,,,62.5,,"76.0"
46,"455",1.142,,,,,67.5,,
47,"455",1.142,,8.49635522522,,,67.5,,"26.0"
48,"455",1.142,,8.49635522522,,,67.5,,"71.0"
49,"455",1.142,,,,,72.5,,
50,"455",1.142,,7.23117489242,,,72.5,,"18.0"
51,"455",1.142,,7.23117489242,"25665",,72.5,659.96875,"4.0"
52,"455",1.142,,,"25665",,72.5,659.96875,
53,"455",1.142,,,"216771",,72.5,659.96875,
54,"455",2.458,,,"205751",,72.5,659.96875,
55,"455",2.458,,,"205751",,72.5,646.89111,
56,"455",2.458,,,"42172",,72.5,573.10626,
57,"2",2.458,,,"17914",,72.5,517.11951,
58,"2",2.458,,,"17914",,72.5,517.11951,
59,"2",2.458,,,"17914",,72.5,517.11951,
60,"2",2.458,,,"17914",,72.5,517.11951,
61,"2",2.458,,,"17914",,72.5,517.11951,
62,"2",2.458,,,"17914",,72.5,517.11951,
63,"2",2.458,,,"17914",,72.5,517.11951,
64,"2",2.458,,,"17914",,,517.11951,
65,"2",2.458,,,"17914",,72.5,517.11951,
66,"2",2.458,,,"16084",,72.5,485.86993,
67,"2",2.458,,,"16084",,72.5,485.86993,
68,"2",2.458,,,"16084",,,485.86993,
69,"2",2.458,,,"16084",,,485.86993,
70,"2",2.458,,,,,72.5,,
71,"2",2.458,,,"191389",,72.5,598.35992,
72,"2",2.458,,,"191389",,72.5,598.35992,
73,"2",2.458,,,"10305",,72.5,598.35992,
74,"2",2.458,,,"177807",,72.5,598.35992,
75,"2",2.458,,,,,,,
76,"2",2.458,,3.58420006679,,,62.5,,"17.0"
77,"2",2.458,,3.58420006679,"5715",,62.5,448.64807,"32.0"
78,"2",2.458,,,"10377",,62.5,448.64807,
79,"2",2.458,,,"9693",,62.5,425.95541,
80,"2",2.458,,,"9693",,62.5,407.31216,
81,"2",2.458,,,,,62.5,,
82,"2",2.458,,,,,62.5,,
83,"2",2.458,,,"156240",,62.5,448.11481,
84,"2",2.458,,,,,,,
85,"2",2.458,,,,,62.5,,
86,"2",2.458,,,,,62.5,,
87,"2",2.458,,,,,62.5,,
88,"2",2.458,,,,,62.5,,
89,"2",2.458,,,,,62.5,,
90,"2",2.458,,,,,57.5,,
91,"2",2.458,,,,,57.5,,
92,"2",2.458,,,,,57.5,,
93,"2",2.458,,,,,57.5,,
94,"2",2.458,,,,,57.5,,
95,"2",2.458,,,,,57.5,,
96,"2",2.458,,,,,57.5,,
97,"2",2.458,,,,,57.5,,
98,"2",2.458,,,,,57.5,,
99,"2",2.458,,,,,57.5,,
100,,2.458,,,,,57.5,,
101,,2.458,,,,,57.5,,
102,,2.458,,,,,57.5,,
103,,2.458,,,,,57.5,,
104,,2.458,,,,,57.5,,
105,,2.458,,,,,57.5,,
106,,2.458,,,,,57.5,,
107,,2.458,,,,,57.5,,
108,,2.458,,,,,57.5,,
109,,2.458,,,,,,,
110,,2.458,,,,,,,
111,,2.458,,,,,,,
112,,2.458,,,,,,,
113,,2.458,,,,,,,
114,,2.458,,,,,,,
115,,2.458,,,,,,,
116,,2.458,,,,,,,
117,,2.458,,,,,,,
118,,2.458,,,,,,,
119,,2.458,,,,,,,
120,,2.458,,,,,,,
121,,2.458,,,,,,,
122,,2.458,,,,,,,
123,,2.458,,,,,,,
124,,2.458,,,,,,,
125,,2.458,,,,,,,
126,,2.458,,,,,,,
127,,2.458,,,,,,,
128,,2.458,,,,,,,
129,,2.458,,,,,,,
130,,2.458,,,,,,,
131,,2.458,,,,,,,
132,,2.458,,,,,,,
133,,2.458,,,,,,,
134,,2.458,,,,,,,
135,,2.458,,,,,,,
136,,2.458,,,,,,,
137,,2.458,,,,,,,
138,,2.458,,,,,,,
139,,2.458,,,,,,,
140,,2.458,,,,,,,
141,,2.458,,,,,,,
142,,2.458,,,,,,,
143,,2.458,,,,,,,
144,,2.458,,,,,,,
145,,2.458,,,,,,,
146,"2",2.458,,,,,,,
147,"2",2.458,,,,,,,
148,"2",2.458,,,,,,,
149,"2",2.458,,,,,,,
150,"2",2.458,,,,,,,
151,"2",2.458,,,,,,,
152,,2.458,,,,,,,
153,,2.458,,,,,,,
154,,2.458,,,,,,,
155,,2.458,,,,,,,
156,,2.458,,,,,,,
157,,2.458,,,,,,,
158,,2.458,,,,,,,
159,,2.458,,,,,,,
160,,2.458,,,,,,,
161,,2.458,,,,,,,
162,,2.458,,,,,,,
163,,2.458,,,,,,,
164,,2.458,,,,,,,
165,,2.458,,,,,,,
166,,2.458,,,,,,,
167,,2.458,,,,,,,
168,,2.458,,,,,,,
169,,2.458,,,,,,,
